Ad Name,Primary Text,Headline,Description,Link Description,Call to Action,Website URL,Image Filename
FASHION-OVERVIEW-02-Statement,"Wear your personality. Nancy fashion is for the ones who don't do boring. Bold prints, character-driven designs, and quality that lasts longer than trends.",Wear Your Personality,Bold designs. Obsessive quality. Not your basic merch.,Shop Fashion,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/fashion.html,fashion-hero-tee.png
FASHION-TEES-01-Collection,"Graphic tees that actually say something. From Serotonin Dealer to Main Character Energy — Nancy tees are conversation starters with premium cotton softness.",Tees That Start Conversations,Premium cotton. Bold graphics. 20+ designs.,Shop Tees,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/tees-tops.html,fashion-hero-tee.png
FASHION-HOODIES-01-Cozy,"The hoodie you'll live in. Nancy hoodies are oversized, cloud-soft, and designed with prints that make strangers ask 'where did you get that?' You're welcome.",The Hoodie You'll Live In,Oversized. Cloud-soft. Character-driven designs.,Shop Hoodies,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/hoodies-sweatshirts.html,fashion-hoodie-cream.png
TOYS-LEM-01-Bestseller,"Meet The Lem — Nancy's #1 bestseller with 15K+ reviews. 12 intensities, body-safe silicone, whisper-quiet, and waterproof. Designed for your first time and every time after.",The Lem — 15K+ Reviews,Nancy's #1 bestseller. 12 intensities. Whisper-quiet.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/lem.html,lem-hero.webp
TOYS-LEM-02-First-Time,"Designed for your first time — and every time after. The Lem has 12 intensities so you can start gentle and explore from there. Body-safe silicone. Waterproof. Whisper-quiet.",Designed for Your First Time,Start gentle. Explore from there. 12 intensities.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/lem.html,lem-hero.webp
TOYS-LEM-03-Quality,"Medical-grade silicone. IPX7 waterproof. Whisper-quiet motor. USB-C rechargeable. The Lem isn't just a bestseller — it's engineered for the experience you deserve.",Engineered for You,Medical-grade silicone. Waterproof. USB-C. $89.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/lem.html,lem-hero.webp
TOYS-BERRI-01-New,"NEW: The Berri. Tapping sensation meets new territory. If you loved The Lem, Berri takes you somewhere completely different. Body-safe. Waterproof. Rechargeable.",Introducing The Berri,New tapping technology. Body-safe. Waterproof.,Shop Now,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/products/berri.html,berri-hero.png
TOYS-COLLECTION-01-Explore,"19 toys. Each one designed for a different kind of experience. From The Lem (our #1 bestseller) to brand new sensations — your pleasure universe starts here.",Your Pleasure Universe,19 toys. Infinite experiences. Free shipping over $89.,Shop All,SHOP_NOW,https://rsquaredboi.github.io/nancy-universe/pages/collections/toys.html,nancy-products-lineup.jpg
BRAND-01-Universe,"Pleasure deserved its own universe. Nancy started with one little lemon-shaped toy and grew into 200+ products across plushies, fashion, and pleasure. Welcome to the universe.",Welcome to Nancy Universe,200+ products. Plushies. Fashion. Pleasure. One universe.,Explore,LEARN_MORE,https://rsquaredboi.github.io/nancy-universe/,hero-lifestyle-wide.png
BRAND-02-Mission,"We make things that make you feel something. Plushies with personality. Fashion with attitude. Pleasure without apology. Small batches, obsessive quality, zero compromise.",Feel Something,Plushies. Fashion. Pleasure. Zero compromise.,Explore Nancy,LEARN_MORE,https://rsquaredboi.github.io/nancy-universe/,hero-lifestyle-wide.png
